scenario,target,n_bins,radius_mode,max_gap,mean_gap,queue_overlap_with_cqs,queue_overlap_with_raeg,robust_events,reference_events,robust_event_gain_vs_raeg,robust_capture_gain_vs_raeg
primary_10airport_rolling,long_arrival_delay,5,bin_abs_gap,0.009882812625702397,0.00287591755194007,0.9869934024505184,0.6582469368520264,69873.0,60771.0,9102.0,0.060083570424255224
primary_10airport_rolling,long_arrival_delay,5,bin_abs_gap_x1_5,0.009882812625702397,0.00287591755194007,0.9775683317624883,0.6590009425070688,69796.0,60771.0,9025.0,0.05957528269379295
primary_10airport_rolling,long_arrival_delay,5,bin_abs_gap_x2,0.009882812625702397,0.00287591755194007,0.9709707822808671,0.6606974552309143,69782.0,60771.0,9011.0,0.05948286674279981
primary_10airport_rolling,long_arrival_delay,5,global_max_gap,0.009882812625702397,0.00287591755194007,0.9786993402450518,0.6744580584354383,69883.0,60771.0,9112.0,0.060149581817821755
primary_10airport_rolling,long_arrival_delay,10,bin_abs_gap,0.014598665380234632,0.00294979893610391,0.9915174363807728,0.6508953817153629,69896.0,60771.0,9125.0,0.060235396629458246
primary_10airport_rolling,long_arrival_delay,10,bin_abs_gap_x1_5,0.014598665380234632,0.00294979893610391,0.9869934024505184,0.6473138548539114,69872.0,60771.0,9101.0,0.06007696928489857
primary_10airport_rolling,long_arrival_delay,10,bin_abs_gap_x2,0.014598665380234632,0.00294979893610391,0.9822808671065033,0.6442978322337417,69888.0,60771.0,9117.0,0.06018258751460502
primary_10airport_rolling,long_arrival_delay,10,global_max_gap,0.014598665380234632,0.00294979893610391,0.9694627709707823,0.6835061262959472,69894.0,60771.0,9123.0,0.06022219435074494
primary_10airport_rolling,long_arrival_delay,20,bin_abs_gap,0.02293656176251918,0.0030289011628239593,0.9896324222431668,0.6514608859566446,69868.0,60771.0,9097.0,0.06005056472747196
primary_10airport_rolling,long_arrival_delay,20,bin_abs_gap_x1_5,0.02293656176251918,0.0030289011628239593,0.9841658812441093,0.6499528746465598,69877.0,60771.0,9106.0,0.06010997498168184
primary_10airport_rolling,long_arrival_delay,20,bin_abs_gap_x2,0.02293656176251918,0.0030289011628239593,0.9796418473138548,0.6476908576814326,69908.0,60771.0,9137.0,0.06031461030173808
primary_10airport_rolling,long_arrival_delay,20,global_max_gap,0.02293656176251918,0.0030289011628239593,0.9479736098020736,0.70311027332705,69774.0,60771.0,9003.0,0.059430057627946585
primary_10airport_rolling,severe_arrival_delay,5,bin_abs_gap,0.009440065407451764,0.0025938134804638106,0.9532516493873704,0.6765315739868049,33148.0,30008.0,3140.0,0.046315416838751546
primary_10airport_rolling,severe_arrival_delay,5,bin_abs_gap_x1_5,0.009440065407451764,0.0025938134804638106,0.9229029217719132,0.6806786050895381,33033.0,30008.0,3025.0,0.04461915157236415
primary_10airport_rolling,severe_arrival_delay,5,bin_abs_gap_x2,0.009440065407451764,0.0025938134804638106,0.8882186616399623,0.6833176248821866,32853.0,30008.0,2845.0,0.0419641276771491
primary_10airport_rolling,severe_arrival_delay,5,global_max_gap,0.009440065407451764,0.0025938134804638106,0.953440150801131,0.7115928369462771,33219.0,30008.0,3211.0,0.04736267626408638
primary_10airport_rolling,severe_arrival_delay,10,bin_abs_gap,0.016470660858783875,0.0026198350607059217,0.971536286522149,0.6467483506126296,33144.0,30008.0,3136.0,0.04625641630774677
primary_10airport_rolling,severe_arrival_delay,10,bin_abs_gap_x1_5,0.016470660858783875,0.0026198350607059217,0.9575871819038643,0.6343072573044298,33112.0,30008.0,3104.0,0.04578441205970854
primary_10airport_rolling,severe_arrival_delay,10,bin_abs_gap_x2,0.016470660858783875,0.0026198350607059217,0.9357210179076343,0.6162111215834118,32948.0,30008.0,2940.0,0.0433653902885126
primary_10airport_rolling,severe_arrival_delay,10,global_max_gap,0.016470660858783875,0.0026198350607059217,0.9153628652214891,0.7455230914231856,33016.0,30008.0,3008.0,0.04436839931559384
primary_10airport_rolling,severe_arrival_delay,20,bin_abs_gap,0.027457220609427097,0.002764764252245804,0.9802073515551367,0.6546654099905749,33141.0,30008.0,3133.0,0.04621216590949319
primary_10airport_rolling,severe_arrival_delay,20,bin_abs_gap_x1_5,0.027457220609427097,0.002764764252245804,0.9655042412818096,0.6403393025447691,33092.0,30008.0,3084.0,0.04548940940468464
primary_10airport_rolling,severe_arrival_delay,20,bin_abs_gap_x2,0.027457220609427097,0.002764764252245804,0.9502356267672007,0.6286522148916117,33011.0,30008.0,3003.0,0.04429464865183787
primary_10airport_rolling,severe_arrival_delay,20,global_max_gap,0.027457220609427097,0.002764764252245804,0.8550424128180961,0.8030160226201697,32683.0,30008.0,2675.0,0.039456605109445986
primary_10airport_rolling,cancellation,5,bin_abs_gap,0.006775321261117136,0.001479811135474515,0.929688972667295,0.7621112158341188,19006.0,18042.0,964.0,0.0360306484769202
primary_10airport_rolling,cancellation,5,bin_abs_gap_x1_5,0.006775321261117136,0.001479811135474515,0.8880301602262017,0.7675777568331762,18911.0,18042.0,869.0,0.03247991029714072
primary_10airport_rolling,cancellation,5,bin_abs_gap_x2,0.006775321261117136,0.001479811135474515,0.8508953817153628,0.7658812441093308,18756.0,18042.0,714.0,0.02668660063539525
primary_10airport_rolling,cancellation,5,global_max_gap,0.006775321261117136,0.001479811135474515,0.9327049952874646,0.8001885014137606,19076.0,18042.0,1034.0,0.038646981872547184
primary_10airport_rolling,cancellation,10,bin_abs_gap,0.013233415254750802,0.0015445274901699116,0.9400565504241282,0.6880301602262017,19044.0,18042.0,1002.0,0.037450943748832
primary_10airport_rolling,cancellation,10,bin_abs_gap_x1_5,0.013233415254750802,0.0015445274901699116,0.8968897266729501,0.6497643732327992,18913.0,18042.0,871.0,0.03255466267987292
primary_10airport_rolling,cancellation,10,bin_abs_gap_x2,0.013233415254750802,0.0015445274901699116,0.8469368520263902,0.6092365692742695,18657.0,18042.0,615.0,0.022986357690151372
