scenario,target,candidate,reference,auc_gain,pr_auc_gain,brier_gain,ece_10_gain,top5_capture_gain,top10_capture_gain,top20_capture_gain
primary_10airport_rolling,cancellation,CQS-Rank,Graph-temporal evidence,-0.01960736610456193,-0.036970350468059576,-5.098426573186578e-05,-0.0005075765724060233,0.05296206316576346,0.039693515230798004,0.024032891048402116
primary_10airport_rolling,cancellation,CQS-Rank,RAEG-Rank,-0.019524552233763925,-0.036112983607006544,-5.4929892392932556e-05,0.0012653715607190265,0.053784339375817614,0.040627920014950525,0.022836852924686957
primary_10airport_rolling,long_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.04037866070115459,-0.05899090388277872,1.5532973037801767e-06,2.9561345712637768e-05,0.0631729036431688,0.06118596069681631,0.07131870960927855
primary_10airport_rolling,long_arrival_delay,CQS-Rank,RAEG-Rank,-0.04079055526862507,-0.0577918027833807,-2.5777808425941906e-05,0.0010184687561690712,0.06252599198621683,0.06034101485916471,0.07088963555109618
primary_10airport_rolling,severe_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.032960966679167925,-0.032373208328873415,-4.282553957984936e-06,-9.190330133130187e-05,0.04835093515841643,0.048572187149684365,0.06498908490176414
primary_10airport_rolling,severe_arrival_delay,CQS-Rank,RAEG-Rank,-0.0331029234050485,-0.03212694942871694,-2.4923141621474576e-06,0.0016138024336448875,0.04964894684052157,0.04742167679509113,0.06547583928255352
scope_30airport_rolling,cancellation,CQS-Rank,Graph-temporal evidence,-0.02303972818327127,-0.03445782155291577,0.0,0.0,0.05165915785825681,0.04442470975567492,0.0284829319008838
scope_30airport_rolling,cancellation,CQS-Rank,RAEG-Rank,-0.023028378103081115,-0.03401972567305753,-1.3706821135323413e-05,0.0007958227175876758,0.05157251776121985,0.04319008837289906,0.029457632992549
scope_30airport_rolling,long_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.044600957251047624,-0.05897678116017288,0.0,0.0,0.05463682559973032,0.06845230778955796,0.0778288551832641
scope_30airport_rolling,long_arrival_delay,CQS-Rank,RAEG-Rank,-0.04494042743422666,-0.05783786808816685,-1.6345070801560002e-05,0.0004798147557834271,0.05445772300906404,0.06862087493371449,0.07767082348561738
scope_30airport_rolling,severe_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.038615961692131995,-0.029737716650326956,0.0,0.0,0.048132684783411095,0.06298754029512849,0.07623469195245791
scope_30airport_rolling,severe_arrival_delay,CQS-Rank,RAEG-Rank,-0.039313621452753966,-0.029414393575187242,-5.959952100079158e-06,0.0009153981269423082,0.04676285547890707,0.062208296079991454,0.07618547652834406
cross_year_2024_to_2025,cancellation,CQS-Rank,Graph-temporal evidence,-0.015935551491791045,-0.04132442744009729,0.0,0.0,0.05963188829713839,0.04630370595215105,0.030740362592786785
cross_year_2024_to_2025,cancellation,CQS-Rank,RAEG-Rank,-0.016018116470665866,-0.0369461475558403,-2.3362009238003453e-05,0.0005535731507589325,0.05750710560445926,0.04652446259554621,0.030823146334060025
cross_year_2024_to_2025,long_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.03985742002233883,-0.06167442909223331,0.0,0.0,0.051424957931854975,0.06026730688845777,0.07469909218550719
cross_year_2024_to_2025,long_arrival_delay,CQS-Rank,RAEG-Rank,-0.04046670739539748,-0.058336990648860665,-4.694908903346562e-05,-0.0003370338211347854,0.051644676905928166,0.059597431967503056,0.07409888425633171
cross_year_2024_to_2025,severe_arrival_delay,CQS-Rank,Graph-temporal evidence,-0.03190818670668527,-0.03205142874556116,0.0,0.0,0.040313469073775865,0.05334262842856802,0.07256184042885638
cross_year_2024_to_2025,severe_arrival_delay,CQS-Rank,RAEG-Rank,-0.03250137761591354,-0.02935408410578247,-1.3382966424183018e-05,-0.0002940544623008365,0.040409625231375756,0.05303012091636816,0.07329503113055602
