scenario,target,model,log_loss,brier,auc,event_rate,arrivals,events,pr_auc,ece_10,top_decile_precision,top_decile_lift,top1_capture,top5_capture,top10_capture,top20_capture,top30_capture
primary_10airport_rolling,cancellation,CQS-Rank,0.05994418671295626,0.013826016554154193,0.865785028577589,0.0164064607912875,1630760.0,26755.0,0.21946795889122905,0.0012281230623348027,0.08534713546314475,5.202044276878263,0.29897215473743227,0.5864698187254719,0.7149317884507569,0.828106895907307,0.8882078116239955
primary_10airport_rolling,cancellation,Graph-temporal evidence,0.05976644882684537,0.013775032288422327,0.8853923946821509,0.0164064607912875,1630760.0,26755.0,0.25643830935928863,0.0007205464899287794,0.1187544781073957,7.238275190372514,0.24358063913287237,0.5335077555597084,0.6752382732199589,0.8040740048589049,0.8682115492431322
primary_10airport_rolling,cancellation,RAEG-Rank,0.06084035269451679,0.01377108666176126,0.8853095808113529,0.0164064607912875,1630760.0,26755.0,0.2555809424982356,0.002493494623053829,0.11869859859201264,7.234869244623828,0.24216034386096058,0.5326854793496543,0.6743038684358064,0.8052700429826201,0.870753130256027
primary_10airport_rolling,long_arrival_delay,CQS-Rank,0.2611915488503611,0.0722947077751232,0.7219259940932474,0.09289472393239961,1630760.0,151489.0,0.28142121062101133,0.002212274139287515,0.2680911462329293,2.885967414339073,0.12076124339060922,0.32436678570721306,0.46132722507904866,0.6267121705206319,0.7309111552653988
primary_10airport_rolling,long_arrival_delay,Graph-temporal evidence,0.26121071984319455,0.07229626107242698,0.762304654794402,0.09289472393239961,1630760.0,151489.0,0.34041211450379005,0.0022418354850001526,0.3734988755044826,4.020668340392306,0.06311349338895894,0.26119388206404426,0.40014126438223235,0.5553934609113533,0.657163226372872
primary_10airport_rolling,long_arrival_delay,RAEG-Rank,0.2611377479508455,0.07226892996669726,0.7627165493618725,0.09289472393239961,1630760.0,151489.0,0.339213013404392,0.003230742895456586,0.37253386810908934,4.010280157355178,0.06399804606275043,0.2618407937209962,0.40098621021988395,0.5558225349695357,0.656951989913459
primary_10airport_rolling,severe_arrival_delay,CQS-Rank,0.1502630181562328,0.03654531182017278,0.718673641720726,0.041573254188231254,1630760.0,67796.0,0.1564710870660713,0.0027956395307774445,0.12503622193035605,3.007612090317237,0.14065726591539324,0.3622632603693433,0.4900731606584459,0.6438580447224025,0.7445719511475604
primary_10airport_rolling,severe_arrival_delay,Graph-temporal evidence,0.15023478106089058,0.036541029266214796,0.7516346083998939,0.041573254188231254,1630760.0,67796.0,0.1888442953949447,0.0027037362294461426,0.17616799877579367,4.23753209162212,0.08127323145908313,0.3139123252109269,0.44150097350876155,0.5788689598206384,0.6741400672606054
primary_10airport_rolling,severe_arrival_delay,RAEG-Rank,0.15055838754487208,0.03654281950601063,0.7517765651257745,0.041573254188231254,1630760.0,67796.0,0.18859803649478823,0.004409441964422332,0.17622257715976888,4.238844916057949,0.08296949672547053,0.31261431352882174,0.4426514838633548,0.578382205439849,0.6729158062422562
scope_30airport_rolling,cancellation,CQS-Rank,0.05452545369790848,0.012124490048096619,0.851462551208807,0.01391979295182343,3316716.0,46168.0,0.1773969030975567,0.00043061732107317987,0.062477423817392304,4.48838743748757,0.30869866574250565,0.576849766071738,0.7043190088372899,0.8225177612198926,0.8851368913533183
scope_30airport_rolling,cancellation,Graph-temporal evidence,0.05452545369790848,0.012124490048096619,0.8745022793920783,0.01391979295182343,3316716.0,46168.0,0.21185472465047248,0.00043061732107317987,0.08967868034051171,6.442529759666017,0.264685496447756,0.5251906082134812,0.659894299081615,0.7940348293190088,0.8615491249350199
scope_30airport_rolling,cancellation,RAEG-Rank,0.054609916357883176,0.012110783226961295,0.8744909293118881,0.01391979295182343,3316716.0,46168.0,0.21141662877061423,0.0012264400386608556,0.08999428008703703,6.465202492487375,0.2657035175879397,0.5252772483105181,0.6611289204643909,0.7930601282273436,0.8623722058568706
scope_30airport_rolling,long_arrival_delay,CQS-Rank,0.25255730579414065,0.06916493523724868,0.708102491136002,0.08585389885657982,3316716.0,284753.0,0.24382567570361793,0.0007050690816925181,0.20847874278439893,2.428296740869808,0.13191432574898246,0.3327971961665022,0.4669977138081074,0.6311013404599776,0.7378078545265546
scope_30airport_rolling,long_arrival_delay,Graph-temporal evidence,0.25255730579414065,0.06916493523724868,0.7527034483870496,0.08585389885657982,3316716.0,284753.0,0.3028024568637908,0.0007050690816925181,0.30755034511914536,3.5822525152050773,0.08590251902526048,0.2781603705667719,0.39854540601854943,0.5532724852767135,0.6608639768501122
