target,reference,budget,capture_gain,ci_low,ci_high
long_arrival_delay,Graph-temporal evidence,5%,0.0631729036431688,0.0578961692051505,0.0685995419564985
long_arrival_delay,Graph-temporal evidence,10%,0.0611859606968163,0.0566473961784299,0.0649513332906532
long_arrival_delay,Graph-temporal evidence,20%,0.0713187096092785,0.0670300053463306,0.074560943800173
long_arrival_delay,RAEG-Rank,5%,0.0625259919862168,0.0569081517647009,0.0671522482873718
long_arrival_delay,RAEG-Rank,10%,0.0603410148591647,0.0568032385333098,0.0647353915370513
long_arrival_delay,RAEG-Rank,20%,0.0708896355510961,0.066691374033247,0.0743286184100645
severe_arrival_delay,Graph-temporal evidence,5%,0.0483509351584164,0.0428330783158564,0.0541603537047613
severe_arrival_delay,Graph-temporal evidence,10%,0.0485721871496843,0.0458337430498849,0.0525858816351044
severe_arrival_delay,Graph-temporal evidence,20%,0.0649890849017641,0.0600333757772187,0.0685427623033335
severe_arrival_delay,RAEG-Rank,5%,0.0496489468405215,0.0426893950379594,0.053647775585082
severe_arrival_delay,RAEG-Rank,10%,0.0474216767950911,0.0426002390620174,0.0533051101965317
severe_arrival_delay,RAEG-Rank,20%,0.0654758392825535,0.0598914520050066,0.0703340960520776
cancellation,Graph-temporal evidence,5%,0.0529620631657634,0.0449382913123781,0.0638044808125012
cancellation,Graph-temporal evidence,10%,0.039693515230798,0.0335598449772607,0.0480363792107478
cancellation,Graph-temporal evidence,20%,0.0240328910484021,0.0204575469843517,0.0289597663470568
cancellation,RAEG-Rank,5%,0.0537843393758176,0.0464366082071595,0.0639229057946551
cancellation,RAEG-Rank,10%,0.0406279200149505,0.0344466467036799,0.0480040769486753
cancellation,RAEG-Rank,20%,0.0228368529246869,0.019367181947656,0.02667624185022
