target,candidate_model,reference_model,metric,observed_gain,ci_low,ci_high,bootstrap_reps
cancellation,CQS-Rank,Graph-temporal evidence,top5_capture,0.05296206316576346,0.044938291312378115,0.06380448081250126,80
cancellation,CQS-Rank,Graph-temporal evidence,top10_capture,0.039693515230798004,0.03355984497726076,0.04803637921074788,80
cancellation,CQS-Rank,Graph-temporal evidence,top20_capture,0.024032891048402116,0.020457546984351718,0.028959766347056815,80
cancellation,CQS-Rank,Graph-temporal evidence,brier,-5.098426573186578e-05,-8.366362756258941e-05,-2.2772215522192444e-05,80
cancellation,CQS-Rank,Graph-temporal evidence,ece_10,-0.0005075765724060233,-0.0006031932404602755,-0.0003823649240515675,80
cancellation,CQS-Rank,RAEG-Rank,top5_capture,0.053784339375817614,0.04643660820715954,0.06392290579465511,80
cancellation,CQS-Rank,RAEG-Rank,top10_capture,0.040627920014950525,0.034446646703679924,0.048004076948675395,80
cancellation,CQS-Rank,RAEG-Rank,top20_capture,0.022836852924686957,0.019367181947656055,0.026676241850220047,80
cancellation,CQS-Rank,RAEG-Rank,brier,-5.4929892392932556e-05,-8.533269418861898e-05,-2.5828138076876417e-05,80
cancellation,CQS-Rank,RAEG-Rank,ece_10,0.0012653715607190265,0.0011067643616741777,0.001458414057897453,80
long_arrival_delay,CQS-Rank,Graph-temporal evidence,top5_capture,0.0631729036431688,0.05789616920515052,0.06859954195649856,80
long_arrival_delay,CQS-Rank,Graph-temporal evidence,top10_capture,0.06118596069681631,0.056647396178429926,0.06495133329065327,80
long_arrival_delay,CQS-Rank,Graph-temporal evidence,top20_capture,0.07131870960927855,0.0670300053463306,0.07456094380017302,80
long_arrival_delay,CQS-Rank,Graph-temporal evidence,brier,1.5532973037801767e-06,-1.4125729757865149e-05,1.6115628045895716e-05,80
long_arrival_delay,CQS-Rank,Graph-temporal evidence,ece_10,2.9561345712637768e-05,-0.00019033366615077546,8.443861044780912e-05,80
long_arrival_delay,CQS-Rank,RAEG-Rank,top5_capture,0.06252599198621683,0.056908151764700994,0.06715224828737187,80
long_arrival_delay,CQS-Rank,RAEG-Rank,top10_capture,0.06034101485916471,0.056803238533309874,0.06473539153705131,80
long_arrival_delay,CQS-Rank,RAEG-Rank,top20_capture,0.07088963555109618,0.06669137403324704,0.07432861841006451,80
long_arrival_delay,CQS-Rank,RAEG-Rank,brier,-2.5777808425941906e-05,-4.8412416744126814e-05,-7.316283981429962e-06,80
long_arrival_delay,CQS-Rank,RAEG-Rank,ece_10,0.0010184687561690712,0.0006585702607102511,0.0013251499784531805,80
severe_arrival_delay,CQS-Rank,Graph-temporal evidence,top5_capture,0.04835093515841643,0.04283307831585646,0.054160353704761396,80
severe_arrival_delay,CQS-Rank,Graph-temporal evidence,top10_capture,0.048572187149684365,0.04583374304988491,0.0525858816351044,80
severe_arrival_delay,CQS-Rank,Graph-temporal evidence,top20_capture,0.06498908490176414,0.060033375777218706,0.06854276230333355,80
severe_arrival_delay,CQS-Rank,Graph-temporal evidence,brier,-4.282553957984936e-06,-2.2149737410801645e-05,1.0813565617483678e-05,80
severe_arrival_delay,CQS-Rank,Graph-temporal evidence,ece_10,-9.190330133130187e-05,-0.00018037933778699617,1.7218016661993068e-05,80
severe_arrival_delay,CQS-Rank,RAEG-Rank,top5_capture,0.04964894684052157,0.042689395037959446,0.053647775585082026,80
severe_arrival_delay,CQS-Rank,RAEG-Rank,top10_capture,0.04742167679509113,0.0426002390620174,0.05330511019653176,80
severe_arrival_delay,CQS-Rank,RAEG-Rank,top20_capture,0.06547583928255352,0.059891452005006694,0.07033409605207762,80
severe_arrival_delay,CQS-Rank,RAEG-Rank,brier,-2.4923141621474576e-06,-2.881114540846056e-05,1.8274535581941642e-05,80
severe_arrival_delay,CQS-Rank,RAEG-Rank,ece_10,0.0016138024336448875,0.0013993360752892292,0.0018215915659309189,80
