rho,state_decile,airport_hours,arrivals,mean_state,mean_recovery_state,delay_rate,cancel_rate
0.95,1,7447,201865,4.716741394813061e-16,4.716741394813061e-16,0.05609689644069054,0.006311148539865747
0.95,2,7447,236519,1.1951698435652887e-07,1.1951698435652887e-07,0.05251586553300155,0.007897885582130816
0.95,3,7447,225738,9.815359222632844e-05,9.815359222632844e-05,0.0535310847088217,0.007016984291523795
0.95,4,7446,220256,0.004495056340293317,0.004495056340293317,0.05537647101554551,0.00837661630103152
0.95,5,7447,220709,0.05111256677748211,0.05103335236695362,0.05746480660054639,0.006483650417518083
0.95,6,7447,221263,0.24760287960743868,0.2450166662173403,0.06266298477377596,0.008415324749280263
0.95,7,7446,221364,0.7652184634411378,0.7230709898983154,0.07114074555935018,0.010683760683760675
0.95,8,7447,225340,1.8628140066748131,1.733399418349024,0.09441288719268658,0.018141475104286844
0.95,9,7447,208279,3.937376539258779,3.6446469953937384,0.15246376254927285,0.03213958200298637
0.95,10,7447,164413,8.213201361831374,7.593228184527876,0.28031846630132656,0.08467092018271061
