rel_hour,events,arrivals,mean_state,mean_recovery_state,delay_rate,cancel_rate
-6,2242,67293,2.5002927319606454,2.3481322794123374,0.08150922086992701,0.029304682507838842
-5,2236,68139,2.4949992147456443,2.314586382153443,0.08374058908994846,0.033578420581458476
-4,2273,71288,2.5858352223458425,2.376391136384671,0.09649590393895183,0.03568623050162719
-3,2376,72633,2.685744185598998,2.4194067999294906,0.11105145044263626,0.04462159073699282
-2,2517,77145,2.877319990978178,2.544426521969601,0.1356666018536522,0.05283556938233197
-1,2582,81322,3.096139802054353,2.6545315451660985,0.16653550084847887,0.06273825041194264
0,2595,90042,3.8181401872765677,2.952428075151115,0.22029719464250017,0.07317696186224205
1,2595,93320,4.473965992354445,3.5361425532917212,0.27968281183026145,0.08333690527218174
2,2572,89984,5.058779244736096,4.234573830440222,0.3359375,0.09739509246088193
3,2547,84392,5.516522939884173,4.74268438488686,0.3641814389989573,0.10487960944165324
4,2492,76091,6.026474654425485,5.302034838941394,0.3585049480227622,0.11646581067406132
5,2412,66516,6.352896768331133,5.687694160437293,0.36338625293162546,0.12742798725118767
6,2285,57891,6.702364531160796,6.083061012479136,0.35034806792074763,0.12390527024926154
7,2106,51396,6.952365100083074,6.367987262637876,0.341174410459958,0.1277920460736244
8,1942,44613,7.185230500208503,6.608531630671223,0.33886983614641475,0.12283415148051016
9,1788,38485,7.32392162162446,6.7755369695955325,0.3232947901779914,0.11911134208133038
10,1713,36074,7.324973254671393,6.83160591716146,0.30573266064201365,0.11953207296113544
11,1705,37245,6.905557718508928,6.494274772252161,0.26212914485165795,0.11757282856759296
12,1782,39324,6.200597242341153,5.902601531494511,0.21373715796968773,0.10431288780388567
13,1867,43863,5.633512128613689,5.412407401014877,0.1718076738937145,0.09237854227936984
14,1993,50705,5.240798260025296,5.066494936881623,0.1366137461788778,0.07869046445123754
15,2161,54921,4.915902425747702,4.785772481524789,0.11276196718923541,0.06243513410170971
16,2246,60908,4.765240614429461,4.6359365821184335,0.09578380508307609,0.05839955342483744
17,2254,63607,4.511227336226999,4.409245636099655,0.08708161051456598,0.05304447623689215
18,2238,66775,4.4180630367196825,4.308521541649172,0.08599026581804566,0.05013852489704229
