rho,inner_mean_auc,outer_month
0.95,0.7540405549746189,1
0.97,0.7537794075395854,1
0.93,0.7535126496621242,1
0.985,0.7528020976005437,1
0.9,0.7520979924724642,1
0.85,0.749242567187921,1
0.7,0.7437874691179837,1
0.5,0.7413956678242317,1
0.25,0.7405372431952292,1
0.0,0.7402972191892018,1
0.95,0.7562733492009667,2
0.97,0.7558815444814994,2
0.93,0.7557581722165821,2
0.985,0.7547155857492013,2
0.9,0.7542314064037344,2
0.85,0.7512114729295264,2
0.7,0.7457003120094235,2
0.5,0.7433417384599711,2
0.25,0.7424831171665829,2
0.0,0.7422437713228818,2
0.95,0.753699189373885,3
0.97,0.7535037913900843,3
0.93,0.7531044017968626,3
0.985,0.7525530313764949,3
0.9,0.7515745146206289,3
0.85,0.7486102448137534,3
0.7,0.7432985400654843,3
0.5,0.7411394266545988,3
0.25,0.7403856769121119,3
0.0,0.7401709969723421,3
0.95,0.7498148687634085,4
0.97,0.7496109863295177,4
0.93,0.7492180705679228,4
0.985,0.7485908923278818,4
0.9,0.747722867924121,4
0.85,0.7448576277337614,4
0.7,0.7397169763984522,4
0.5,0.7376000386945321,4
0.25,0.7368626673712204,4
0.0,0.7366568365539283,4
0.95,0.7489573506935462,5
0.97,0.7488687434531743,5
0.93,0.7483250209218137,5
0.985,0.747803207506367,5
0.9,0.746813307166996,5
0.85,0.7439046103498659,5
0.7,0.738479234518708,5
0.5,0.7360880265676087,5
0.25,0.7352149892803511,5
0.0,0.7349659730905141,5
0.95,0.7515443898177232,6
0.97,0.7512327806742826,6
0.93,0.7511683275807454,6
0.985,0.7503144120400443,6
0.9,0.7499733680046282,6
0.85,0.7474441749023591,6
0.7,0.7427100681371297,6
0.5,0.7407576263958409,6
0.25,0.7400769194505309,6
0.0,0.7399152260899636,6
0.95,0.7523735637275114,7
0.97,0.7520143006159338,7
0.93,0.7519081670402613,7
0.985,0.7506492240803094,7
0.9,0.7505788251984359,7
0.85,0.7479319192517583,7
0.7,0.7430122027733623,7
0.5,0.7406781314484633,7
0.25,0.7397304644972444,7
0.0,0.7394611407083236,7
0.95,0.7520333881573765,8
0.97,0.7517033846823242,8
0.93,0.7515123934828704,8
0.985,0.7505441738683521,8
0.9,0.7500784747444039,8
0.85,0.7472116591431448,8
0.7,0.741964619453541,8
0.5,0.7397081265966303,8
0.25,0.7388514292823468,8
0.0,0.7385861017250742,8
0.95,0.7505546831237148,9
0.97,0.750229549910949,9
0.93,0.7500131830940036,9
0.985,0.7489610334942636,9
0.9,0.7485100741523101,9
0.85,0.7455169512149589,9
0.7,0.7400317970042513,9
0.5,0.7377249497102158,9
0.25,0.7368537665382042,9
0.0,0.7365568301704186,9
0.95,0.750965542573672,10
0.97,0.7505822173606728,10
0.93,0.7504336573677963,10
0.985,0.7493295756089242,10
0.9,0.7489237429318027,10
0.85,0.745881938730464,10
0.7,0.7401649331210455,10
0.5,0.7375910780284289,10
0.25,0.7366168626106613,10
0.0,0.7363319113391835,10
0.95,0.7513132410161864,11
0.93,0.7508766920286148,11
0.97,0.7508472402950234,11
0.985,0.7495340934100909,11
0.9,0.7495266840071607,11
0.85,0.746791658305207,11
0.7,0.7416368694338058,11
0.5,0.7393522035521983,11
0.25,0.7385119637247078,11
0.0,0.7382700957097079,11
0.95,0.7557956993469194,12
0.97,0.7554605798749475,12
0.93,0.7552341338478542,12
0.985,0.7542503541318887,12
0.9,0.7536910215247972,12
0.85,0.7506250233794552,12
0.7,0.7449605448892759,12
0.5,0.7424989960815385,12
0.25,0.741605054450008,12
0.0,0.7413571114270572,12
