rho,inner_mean_auc,transfer
0.95,0.7060316011271687,train2024_test2025
0.93,0.7055340917070775,train2024_test2025
0.97,0.7053056864778707,train2024_test2025
0.985,0.7046560432476664,train2024_test2025
0.9,0.7040469961591406,train2024_test2025
0.85,0.7013129606888571,train2024_test2025
0.7,0.6966898614418429,train2024_test2025
0.5,0.6949283915243214,train2024_test2025
0.25,0.6945285442224945,train2024_test2025
0.0,0.6945137371233855,train2024_test2025
0.93,0.7386833563096956,main10_to_extension20
0.95,0.7386650294854391,main10_to_extension20
0.9,0.7375256753498141,main10_to_extension20
0.97,0.7370563150107454,main10_to_extension20
0.85,0.7345003777133027,main10_to_extension20
0.985,0.7337754649876297,main10_to_extension20
0.7,0.7278836882200297,main10_to_extension20
0.5,0.7246624503849196,main10_to_extension20
0.25,0.7236253373864313,main10_to_extension20
0.0,0.7233858029274991,main10_to_extension20
