rho,inner_mean_auc,outer_month,horizon
0.9,0.7489398030321509,1,1
0.95,0.7488810980137263,1,1
0.97,0.7462853471991365,1,1
0.95,0.752071760158558,2,1
0.9,0.7520196540962053,2,1
0.97,0.7492982713233022,2,1
0.95,0.7496663448339382,3,1
0.9,0.7493344462666817,3,1
0.97,0.7472341064042709,3,1
0.95,0.7440252404136458,4,1
0.9,0.7437404491897195,4,1
0.97,0.7415375496600323,4,1
0.95,0.7441583170422419,5,1
0.9,0.743781995542593,5,1
0.97,0.7417497030774451,5,1
0.9,0.7463900977784532,6,1
0.95,0.7459597585650354,6,1
0.97,0.7432732588185575,6,1
0.95,0.7470351137619754,7,1
0.9,0.7468202498390005,7,1
0.97,0.7444201509284614,7,1
0.95,0.7470172913122132,8,1
0.9,0.7465733726084288,8,1
0.97,0.7446493497427735,8,1
0.95,0.7454429442550053,9,1
0.9,0.7450101269722113,9,1
0.97,0.7430590120729232,9,1
0.95,0.7464167452941105,10,1
0.9,0.7460286914950249,10,1
0.97,0.743774800573192,10,1
0.95,0.7469337367800992,11,1
0.9,0.7467771610836837,11,1
0.97,0.7443950303016923,11,1
0.95,0.7510814447494881,12,1
0.9,0.7506491652116112,12,1
0.97,0.7486686743366995,12,1
0.95,0.7362410904896349,1,3
0.9,0.7360871469916123,1,3
0.97,0.7344168334312543,1,3
0.95,0.7388813660692871,2,3
0.9,0.7387067305648074,2,3
0.97,0.7368761841842233,2,3
0.95,0.735902244399581,3,3
0.9,0.7353096200449266,3,3
0.97,0.734267729926989,3,3
0.95,0.7311272263902279,4,3
0.9,0.7306490422368289,4,3
0.97,0.7294032584233083,4,3
0.95,0.7309612424315827,5,3
0.9,0.7302855921151257,5,3
0.97,0.729376229776259,5,3
0.9,0.7332835946918734,6,3
0.95,0.7331586002007966,6,3
0.97,0.7313342513377726,6,3
0.95,0.7343431724212924,7,3
0.9,0.7340450606836693,7,3
0.97,0.7324734243902039,7,3
0.95,0.7347393337141302,8,3
0.9,0.7341532368992785,8,3
0.97,0.7330920994390301,8,3
0.95,0.7324569371869832,9,3
0.9,0.7317906862209971,9,3
0.97,0.7308875326752733,9,3
0.95,0.7327212618755802,10,3
0.9,0.7321063976777574,10,3
0.97,0.7308867286142605,10,3
0.95,0.7335443449888568,11,3
0.9,0.7331495681047411,11,3
0.97,0.731787826665956,11,3
0.95,0.7374094904421196,12,3
0.9,0.7366739095354898,12,3
0.97,0.7357419353141335,12,3
0.95,0.7105760278665707,1,6
0.97,0.7095727627965037,1,6
0.9,0.7094974606023615,1,6
0.95,0.7118819025571272,2,6
0.97,0.7109155460719413,2,6
0.9,0.7107488492070102,2,6
0.95,0.7085658037508251,3,6
0.97,0.7079559719598936,3,6
0.9,0.7069552340728242,3,6
0.95,0.7057780506577969,4,6
0.97,0.7049233398601852,4,6
0.9,0.704587701395377,4,6
0.95,0.704350424229869,5,6
0.97,0.7038202445749452,5,6
0.9,0.7026887218617104,5,6
0.95,0.7078303143772795,6,6
0.97,0.7071459464436051,6,6
0.9,0.7068705329454519,6,6
0.95,0.7089686437895583,7,6
0.97,0.7080907467870573,7,6
0.9,0.7076935481522196,7,6
0.95,0.7096078555413369,8,6
0.97,0.7090083359476455,8,6
0.9,0.7083645034971862,8,6
0.95,0.7061152449875413,9,6
0.97,0.7055232417345692,9,6
0.9,0.704697763136953,9,6
0.95,0.7044649632388859,10,6
0.97,0.7036854963597098,10,6
0.9,0.7028775222360908,10,6
0.95,0.7067289788793566,11,6
0.97,0.7057957152893668,11,6
0.9,0.7056076391568248,11,6
0.95,0.7097413032061408,12,6
0.97,0.7090373858468154,12,6
0.9,0.7081275400030724,12,6
